frec,errfrec,vi,vo,errvo,dt,errdt,frec_u,vi_u,vo_u,dt_u,w_u,Io,H_u,fase_u
7.022,0.001,4.34,0.0525,0.0005,0.0344,0.0004,7.0220+/-0.0010,4.340+/-0.010,0.0525+/-0.0005,0.0344+/-0.0004,44.121+/-0.006,0.00085+/-0.00004,0.01210+/-0.00012,1.518+/-0.018
10.25,0.01,5.0,0.0853,0.0001,0.0216,0.0004,10.250+/-0.010,5.000+/-0.010,0.08530+/-0.00010,0.0216+/-0.0004,64.40+/-0.06,0.00138+/-0.00007,0.01706+/-0.00004,1.391+/-0.026
10.25,0.02,3.49,0.06225,0.0001,0.02,0.0003,10.250+/-0.020,3.490+/-0.010,0.06225+/-0.00010,0.02000+/-0.00030,64.40+/-0.13,0.00100+/-0.00005,0.01784+/-0.00006,1.288+/-0.019
11.0,0.01,3.472,0.0674,0.0001,0.0181,0.0003,11.000+/-0.010,3.472+/-0.010,0.06740+/-0.00010,0.01810+/-0.00030,69.12+/-0.06,0.00109+/-0.00005,0.01941+/-0.00006,1.251+/-0.021
12.0,0.02,3.592,0.06902,0.0001,0.0166,0.0004,12.000+/-0.020,3.592+/-0.010,0.06902+/-0.00010,0.0166+/-0.0004,75.40+/-0.13,0.00111+/-0.00006,0.01921+/-0.00006,1.252+/-0.030
13.5,0.01,3.54,0.0775,5e-05,0.0144,0.0002,13.500+/-0.010,3.540+/-0.010,0.07750+/-0.00005,0.01440+/-0.00020,84.82+/-0.06,0.00125+/-0.00006,0.02189+/-0.00006,1.221+/-0.017
13.505,0.005,5.33,0.115,0.0005,0.0158,0.0002,13.505+/-0.005,5.330+/-0.010,0.1150+/-0.0005,0.01580+/-0.00020,84.854+/-0.031,0.00185+/-0.00009,0.02158+/-0.00010,1.341+/-0.017
15.0,0.02,3.527,0.08495,5e-05,0.0128,0.0002,15.000+/-0.020,3.527+/-0.010,0.08495+/-0.00005,0.01280+/-0.00020,94.25+/-0.13,0.00137+/-0.00007,0.02409+/-0.00007,1.206+/-0.019
16.73,0.01,5.51,0.141,0.001,0.0112,0.0002,16.730+/-0.010,5.510+/-0.010,0.1410+/-0.0010,0.01120+/-0.00020,105.12+/-0.06,0.00227+/-0.00011,0.02559+/-0.00019,1.177+/-0.021
18.0,0.12,3.533,0.0975,0.0001,0.009699999999999999,0.0001,18.00+/-0.12,3.533+/-0.010,0.09750+/-0.00010,0.00970+/-0.00010,113.1+/-0.8,0.00157+/-0.00008,0.02760+/-0.00008,1.097+/-0.013
19.99,0.01,5.61,0.163,0.001,0.0088,0.0001,19.990+/-0.010,5.610+/-0.010,0.1630+/-0.0010,0.00880+/-0.00010,125.60+/-0.06,0.00263+/-0.00013,0.02906+/-0.00019,1.105+/-0.013
31.06,0.01,5.83,0.218,0.001,0.0048,0.0001,31.060+/-0.010,5.830+/-0.010,0.2180+/-0.0010,0.00480+/-0.00010,195.16+/-0.06,0.00352+/-0.00018,0.03739+/-0.00018,0.937+/-0.020
42.55,0.05,5.85,0.25,0.001,0.0031,0.0001,42.55+/-0.05,5.850+/-0.010,0.2500+/-0.0010,0.00310+/-0.00010,267.35+/-0.31,0.00403+/-0.00020,0.04274+/-0.00019,0.829+/-0.027
50.0,0.1,3.558,0.159,0.001,0.00244,0.0004,50.00+/-0.10,3.558+/-0.010,0.1590+/-0.0010,0.0024+/-0.0004,314.2+/-0.6,0.00256+/-0.00013,0.04469+/-0.00031,0.77+/-0.13
64.94,0.01,5.87,0.286,0.001,0.00204,4e-05,64.940+/-0.010,5.870+/-0.010,0.2860+/-0.0010,0.00204+/-0.00004,408.03+/-0.06,0.00461+/-0.00023,0.04872+/-0.00019,0.832+/-0.016
70.0,0.1,3.382,0.174,0.001,0.0016799999999999999,2e-05,70.00+/-0.10,3.382+/-0.010,0.1740+/-0.0010,0.001680+/-0.000020,439.8+/-0.6,0.00281+/-0.00014,0.05145+/-0.00033,0.739+/-0.009
87.26,0.01,5.87,0.311,0.001,0.0014,4e-05,87.260+/-0.010,5.870+/-0.010,0.3110+/-0.0010,0.00140+/-0.00004,548.27+/-0.06,0.00502+/-0.00025,0.05298+/-0.00019,0.768+/-0.022
100.0,0.2,3.487,0.1948,0.0001,0.00124,1e-05,100.00+/-0.20,3.487+/-0.010,0.19480+/-0.00010,0.001240+/-0.000010,628.3+/-1.3,0.00314+/-0.00016,0.05586+/-0.00016,0.779+/-0.006
109.4,0.1,5.87,0.334,0.001,0.00124,4e-05,109.40+/-0.10,5.870+/-0.010,0.3340+/-0.0010,0.00124+/-0.00004,687.4+/-0.6,0.00539+/-0.00027,0.05690+/-0.00020,0.852+/-0.028
154.7,0.1,5.86,0.386,0.001,0.00088,4e-05,154.70+/-0.10,5.860+/-0.010,0.3860+/-0.0010,0.00088+/-0.00004,972.0+/-0.6,0.00623+/-0.00031,0.06587+/-0.00020,0.86+/-0.04
199.6,0.1,5.85,0.441,0.001,0.00076,2e-05,199.60+/-0.10,5.850+/-0.010,0.4410+/-0.0010,0.000760+/-0.000020,1254.1+/-0.6,0.0071+/-0.0004,0.07538+/-0.00021,0.953+/-0.025
225.0,0.6,3.58,0.2787,0.0001,0.00069,1e-05,225.0+/-0.6,3.580+/-0.010,0.27870+/-0.00010,0.000690+/-0.000010,1414+/-4,0.00450+/-0.00022,0.07785+/-0.00022,0.975+/-0.014
250.0,0.6,3.514,0.29919999999999997,0.0002,0.00065,5e-05,250.0+/-0.6,3.514+/-0.010,0.29920+/-0.00020,0.00065+/-0.00005,1571+/-4,0.00483+/-0.00024,0.08515+/-0.00025,1.02+/-0.08
275.1,0.4,3.356,0.3265,0.0001,0.0006,1e-05,275.1+/-0.4,3.356+/-0.010,0.32650+/-0.00010,0.000600+/-0.000010,1728.5+/-2.5,0.00527+/-0.00026,0.09729+/-0.00029,1.037+/-0.017
313.5,0.1,5.83,0.667,0.001,0.00053,1e-05,313.50+/-0.10,5.830+/-0.010,0.6670+/-0.0010,0.000530+/-0.000010,1969.8+/-0.6,0.0108+/-0.0005,0.11441+/-0.00026,1.044+/-0.020
425.5,0.1,5.78,0.772,0.001,0.00044,1e-05,425.50+/-0.10,5.780+/-0.010,0.7720+/-0.0010,0.000440+/-0.000010,2673.5+/-0.6,0.0125+/-0.0006,0.13356+/-0.00029,1.176+/-0.027
538.8,0.1,5.72,0.936,0.001,0.00035999999999999997,4e-06,538.80+/-0.10,5.720+/-0.010,0.9360+/-0.0010,0.000360+/-0.000004,3385.4+/-0.6,0.0151+/-0.0008,0.16364+/-0.00034,1.219+/-0.014
649.4,0.1,5.61,1.09,0.01,0.0003,4e-06,649.40+/-0.10,5.610+/-0.010,1.090+/-0.010,0.000300+/-0.000004,4080.3+/-0.6,0.0176+/-0.0009,0.1943+/-0.0018,1.224+/-0.016
877.2,1.0,5.47,1.39,0.01,0.00022,4e-06,877.2+/-1.0,5.470+/-0.010,1.390+/-0.010,0.000220+/-0.000004,5512+/-6,0.0224+/-0.0011,0.2541+/-0.0019,1.213+/-0.022
1100.0,1.0,5.26,1.64,0.01,0.00017199999999999998,1e-06,1100.0+/-1.0,5.260+/-0.010,1.640+/-0.010,0.0001720+/-0.0000010,6912+/-6,0.0265+/-0.0013,0.3118+/-0.0020,1.189+/-0.007
1550.0,1.0,4.88,2.04,0.01,0.000112,2e-06,1550.0+/-1.0,4.880+/-0.010,2.040+/-0.010,0.0001120+/-0.0000020,9739+/-6,0.0329+/-0.0017,0.4180+/-0.0022,1.091+/-0.019
2000.0,1.0,4.55,2.31,0.01,7.9e-05,1e-06,2000.0+/-1.0,4.550+/-0.010,2.310+/-0.010,(7.90+/-0.10)e-05,12566+/-6,0.0373+/-0.0019,0.5077+/-0.0025,0.993+/-0.013
2451.0,1.0,4.34,2.52,0.01,6.1e-05,1e-06,2451.0+/-1.0,4.340+/-0.010,2.520+/-0.010,(6.10+/-0.10)e-05,15400+/-6,0.0406+/-0.0020,0.5806+/-0.0027,0.939+/-0.015
2985.0,1.0,4.06,2.68,0.01,4.4999999999999996e-05,1e-06,2985.0+/-1.0,4.060+/-0.010,2.680+/-0.010,(4.50+/-0.10)e-05,18755+/-6,0.0432+/-0.0022,0.6601+/-0.0030,0.844+/-0.019
3185.0,1.0,3.98,2.72,0.01,4.1e-05,1e-06,3185.0+/-1.0,3.980+/-0.010,2.720+/-0.010,(4.10+/-0.10)e-05,20012+/-6,0.0439+/-0.0022,0.6834+/-0.0030,0.820+/-0.020
3805.0,1.0,3.84,2.87,0.01,3.1e-05,1e-06,3805.0+/-1.0,3.840+/-0.010,2.870+/-0.010,(3.10+/-0.10)e-05,23908+/-6,0.0463+/-0.0023,0.7474+/-0.0033,0.741+/-0.024
4673.0,1.0,3.64,2.91,0.01,2.3e-05,1e-06,4673.0+/-1.0,3.640+/-0.010,2.910+/-0.010,(2.30+/-0.10)e-05,29361+/-6,0.0469+/-0.0024,0.7995+/-0.0035,0.675+/-0.029
4690.0,1.0,3.65,2.96,0.01,2.2e-05,4e-06,4690.0+/-1.0,3.650+/-0.010,2.960+/-0.010,(2.2+/-0.4)e-05,29468+/-6,0.0477+/-0.0024,0.8110+/-0.0035,0.65+/-0.12
